Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704192482,6,GET,/task/B/metrics,0.000000,0.000000,47,47,47,47,47,47,47,47,47,47,47,2,0,47,69.80224999999862,46.91429999999741,92.69019999999983,94.0
1704192482,6,,Aggregated,1.000000,0.000000,93,93,96,96,120,120,120,120,120,120,120,9,0,89,79.96356666666631,46.91429999999741,119.79640000000202,121.11111111111111
1704192483,7,POST,/prediction_category,0.000000,0.000000,93,93,93,93,93,93,93,93,93,93,93,1,0,92.53220000000084,92.53220000000084,92.53220000000084,92.53220000000084,115.0
1704192483,7,POST,/prediction_sexism,0.250000,0.000000,96,96,120,120,120,120,120,120,120,120,120,3,0,96,88.20233333333385,48.41880000000032,119.79640000000202,78.0
1704192483,7,GET,/task/A,0.250000,0.000000,95,95,95,95,95,95,95,95,95,95,95,2,0,84.28509999999889,89.66209999999819,84.28509999999889,95.03909999999749,168.0
1704192483,7,GET,/task/A/metrics,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,48.623600000002654,48.623600000002654,48.623600000002654,48.623600000002654,94.0
1704192483,7,GET,/task/A/preprocessing,0.000000,0.000000,49,49,49,49,49,49,49,49,49,49,49,1,0,49.21629999999766,49.21629999999766,49.21629999999766,49.21629999999766,109.0
1704192483,7,GET,/task/B,0.250000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89.22219999999825,89.22219999999825,89.22219999999825,89.22219999999825,240.0
1704192483,7,GET,/task/B/metrics,0.250000,0.000000,47,47,47,47,47,47,47,47,47,47,47,2,0,47,69.80224999999862,46.91429999999741,92.69019999999983,94.0
1704192483,7,,Aggregated,1.000000,0.000000,93,93,95,96,120,120,120,120,120,120,120,11,0,89,78.46636363636316,46.91429999999741,119.79640000000202,119.63636363636364
1704192484,8,GET,/,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,42.20289999999949,42.20289999999949,42.20289999999949,42.20289999999949,274.0
1704192484,8,POST,/prediction_category,0.200000,0.000000,93,93,93,93,93,93,93,93,93,93,93,2,0,49,70.57655000000018,48.62089999999952,92.53220000000084,118.0
1704192484,8,POST,/prediction_sexism,0.200000,0.000000,96,96,120,120,120,120,120,120,120,120,120,3,0,96,88.20233333333385,48.41880000000032,119.79640000000202,78.0
1704192484,8,GET,/task/A,0.200000,0.000000,95,95,95,95,95,95,95,95,95,95,95,2,0,84.28509999999889,89.66209999999819,84.28509999999889,95.03909999999749,168.0
1704192484,8,GET,/task/A/metrics,0.000000,0.000000,49,49,49,49,49,49,49,49,49,49,49,1,0,48.623600000002654,48.623600000002654,48.623600000002654,48.623600000002654,94.0
1704192484,8,GET,/task/A/preprocessing,0.200000,0.000000,95,95,95,95,95,95,95,95,95,95,95,2,0,49.21629999999766,71.86074999999903,49.21629999999766,94.5052000000004,109.0
1704192484,8,GET,/task/B,0.200000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89.22219999999825,89.22219999999825,89.22219999999825,89.22219999999825,240.0
1704192484,8,GET,/task/B/metrics,0.400000,0.000000,47,47,47,47,47,47,47,47,47,47,47,2,0,47,69.80224999999862,46.91429999999741,92.69019999999983,94.0
1704192484,8,,Aggregated,1.400000,0.000000,89,93,95,95,96,120,120,120,120,120,120,14,0,84,74.88992857142816,42.20289999999949,119.79640000000202,130.0
1704192485,9,GET,/,0.000000,0.000000,42,42,42,42,42,42,42,42,42,42,42,1,0,42.20289999999949,42.20289999999949,42.20289999999949,42.20289999999949,274.0
1704192485,9,POST,/prediction_category,0.166667,0.000000,93,93,93,93,93,93,93,93,93,93,93,2,0,49,70.57655000000018,48.62089999999952,92.53220000000084,118.0
1704192485,9,POST,/prediction_sexism,0.333333,0.000000,96,96,120,120,120,120,120,120,120,120,120,4,0,53,79.31094999999999,48.41880000000032,119.79640000000202,80.5
1704192485,9,GET,/task,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,51.85379999999995,51.85379999999995,51.85379999999995,51.85379999999995,192.0
1704192485,9,GET,/task/A,0.166667,0.000000,95,95,95,95,95,95,95,95,95,95,95,2,0,84.28509999999889,89.66209999999819,84.28509999999889,95.03909999999749,168.0
1704192485,9,GET,/task/A/metrics,0.166667,0.000000,49,49,49,49,49,49,49,49,49,49,49,1,0,48.623600000002654,48.623600000002654,48.623600000002654,48.623600000002654,94.0
1704192485,9,GET,/task/A/preprocessing,0.166667,0.000000,95,95,95,95,95,95,95,95,95,95,95,2,0,49.21629999999766,71.86074999999903,49.21629999999766,94.5052000000004,109.0
1704192485,9,GET,/task/B,0.166667,0.000000,93,93,93,93,93,93,93,93,93,93,93,2,0,89.22219999999825,91.16289999999871,89.22219999999825,93.10359999999918,240.0
1704192485,9,GET,/task/B/metrics,0.333333,0.000000,50,50,50,50,50,50,50,50,50,50,50,3,0,50,63.115399999998566,46.91429999999741,92.69019999999983,94.0
1704192485,9,,Aggregated,1.500000,0.000000,53,93,93,95,96,120,120,120,120,120,120,18,0,53,71.98860555555501,42.20289999999949,119.79640000000202,135.22222222222223
1704192486,10,GET,/,0.142857,0.000000,42,42,42,42,42,42,42,42,42,42,42,1,0,42.20289999999949,42.20289999999949,42.20289999999949,42.20289999999949,274.0
